timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 03:42:35,HRB,1,0,46,muller_lyer_day1_illusion1.svg,Same length,2.359,Group 1 - Fast,0.5,Same length,185,185,0,20,36,black,False,True
2024-11-05 03:42:38,HRB,1,0,47,muller_lyer_day1_illusion12.svg,Left,2.207,Group 1 - Fast,0.5,Same length,190,190,0,20,36,black,False,False
2024-11-05 03:43:08,HRB,1,1,0,muller_lyer_day1_illusion13.svg,Same length,5.06,Group 1 - Slow,5.0,Right,185,200,-15,20,36,black,False,False
2024-11-05 03:43:14,HRB,1,1,1,muller_lyer_day1_illusion27.svg,Left,4.733,Group 1 - Slow,5.0,Same length,200,200,0,20,36,red,False,False
2024-11-05 03:43:18,HRB,1,1,2,muller_lyer_day1_illusion46.svg,Left,2.977,Group 1 - Slow,5.0,Left,205,180,25,20,36,red,False,True
2024-11-05 03:43:22,HRB,1,1,3,muller_lyer_day1_illusion37.svg,Same length,2.882,Group 1 - Slow,5.0,Right,185,200,-15,20,36,red,False,False
2024-11-05 03:43:25,HRB,1,1,4,muller_lyer_day1_illusion42.svg,Same length,2.344,Group 1 - Slow,5.0,Right,185,220,-35,20,36,red,False,False
2024-11-05 03:43:30,HRB,1,1,5,muller_lyer_day1_illusion5.svg,Left,3.133,Group 1 - Slow,5.0,Same length,210,210,0,20,36,black,False,False
2024-11-05 03:43:33,HRB,1,1,6,muller_lyer_day1_illusion28.svg,Left,2.232,Group 1 - Slow,5.0,Same length,180,180,0,20,36,red,False,False
2024-11-05 03:43:39,HRB,1,1,7,muller_lyer_day1_illusion33.svg,Left,4.931,Group 1 - Slow,5.0,Same length,200,200,0,20,36,red,False,False
2024-11-05 03:43:44,HRB,1,1,8,muller_lyer_day1_illusion9.svg,Same length,3.538,Group 1 - Slow,5.0,Same length,200,200,0,20,36,black,False,True
2024-11-05 03:43:48,HRB,1,1,9,muller_lyer_day1_illusion34.svg,Left,2.79,Group 1 - Slow,5.0,Same length,185,185,0,20,36,red,False,False
